59 5.666 9191 0 17298.520 15930.020 17346.298 18523.685 100.614 81.970 101.468 116.695
60 5.760 9191 0 17229.384 15786.680 17292.310 18483.310 99.104 80.640 100.383 113.730
61 5.854 9191 0 17125.980 15647.495 17183.492 18431.930 98.400 79.310 99.333 114.690
62 5.948 9191 0 16970.001 15545.495 17029.433 18216.210 97.044 80.245 97.535 112.370
63 6.042 9191 0 16844.009 15440.865 16890.982 18106.235 95.660 77.865 96.777 110.105
64 6.135 9191 0 16701.663 15328.900 16748.975 17932.490 93.553 75.880 94.607 108.065
65 6.229 9191 0 16581.300 15231.580 16631.385 17780.765 92.251 75.110 93.547 105.505
66 6.323 9191 0 16475.357 15086.150 16520.205 17730.020 90.895 74.445 91.710 104.900
67 6.415 9191 0 16342.737 14931.840 16396.690 17591.775 89.160 72.415 89.745 104.150
68 6.509 9172 0 16157.824 14773.410 16223.157 17346.240 86.474 70.670 87.350 99.650
69 6.603 9089 0 15980.443 14658.095 16026.475 17164.695 84.262 68.840 85.140 97.050
70 6.697 9089 0 15827.160 14516.415 15874.033 16997.285 81.885 67.475 82.588 94.185
71 6.791 9089 0 15701.252 14391.195 15732.585 16917.310 79.896 67.215 79.562 93.580
72 6.885 9089 0 15544.565 14265.455 15578.835 16720.865 78.360 65.860 79.103 88.630
73 6.979 9089 0 15385.551 14139.900 15419.900 16528.155 77.406 65.010 78.130 87.630
74 7.071 9089 0 15226.678 13990.360 15259.585 16364.275 76.157 63.425 76.933 86.560
75 7.164 9089 0 15142.608 13869.015 15193.077 16264.795 75.385 63.350 75.753 86.315
76 7.257 9089 0 14972.594 13688.025 15018.318 16119.990 73.942 61.980 74.318 84.775
77 7.350 9089 0 14795.045 13528.100 14839.822 15927.660 72.859 59.905 73.340 84.370
78 7.442 9089 0 14592.866 13395.865 14611.918 15732.710 70.965 58.045 71.377 82.650
79 7.534 9089 0 14418.877 13276.775 14411.095 15584.325 69.119 56.185 69.692 80.335
80 7.626 9089 0 14237.436 13215.255 14193.472 15391.510 67.197 55.345 67.202 79.035
81 7.718 9089 0 14108.267 13132.825 14050.637 15256.600 66.006 54.680 65.730 78.160
82 7.810 8724 0 13903.639 13020.635 13860.948 14914.715 63.169 53.360 63.272 72.670
83 7.902 8724 0 13764.411 12927.195 13732.125 14698.485 61.406 51.475 61.917 69.805
84 7.994 8724 0 13645.031 12841.090 13614.213 14541.425 59.698 50.375 60.250 67.365
85 8.086 8724 0 13532.226 12775.795 13521.855 14319.770 58.540 49.400 58.943 66.470
86 8.179 8724 0 13451.512 12674.050 13438.730 14267.320 57.402 47.550 58.267 64.660
87 8.270 8724 0 13317.926 12553.955 13313.180 14096.135 55.334 45.470 56.087 62.940
88 8.362 8724 0 13232.406 12478.065 13231.515 13989.420 54.051 44.685 54.828 61.085
89 8.454 8724 0 13227.802 12404.255 13230.502 14043.250 53.487 43.620 54.208 61.190
90 8.546 8724 0 13175.673 12326.370 13173.207 14032.375 52.289 42.750 52.945 59.860
91 8.637 8724 0 13088.138 12201.890 13088.797 13972.410 51.076 40.525 51.915 59.110
92 8.728 8724 0 12975.031 12071.435 12976.485 13874.265 49.860 39.200 50.618 58.245
93 8.820 8724 0 12868.022 11986.030 12875.265 13728.285 48.420 37.270 49.605 56.015
94 8.911 8724 0 12755.764 11903.715 12749.003 13628.095 46.740 36.135 47.388 55.400
95 9.002 8724 0 12635.838 11823.355 12626.453 13476.475 45.006 35.520 45.263 53.720
96 9.093 8724 0 12574.448 11766.190 12554.132 13443.655 44.239 34.940 44.455 52.890
97 9.184 8724 0 12510.006 11727.215 12482.672 13374.800 43.114 34.535 43.367 50.935
98 9.275 8724 0 12442.148 11651.605 12420.297 13298.245 42.430 33.520 42.943 49.800
99 9.366 8724 0 12403.337 11597.110 12377.242 13287.850 41.948 33.245 42.168 49.990
100 9.458 8724 0 12314.130 11536.500 12296.893 13143.470 40.906 32.815 41.192 48.140
101 9.549 8724 0 12279.289 11492.680 12258.165 13129.270 40.312 32.010 40.528 47.965
102 9.640 8724 0 12204.865 11439.710 12189.898 13014.920 39.535 31.930 39.665 46.750
103 9.732 8724 0 12119.934 11391.370 12096.220 12919.640 38.754 31.750 38.805 45.605
104 9.823 8724 0 12060.105 11317.140 12041.963 12857.495 37.767 30.580 38.342 43.230
105 9.913 8724 0 12011.675 11238.910 11980.138 12879.050 37.564 29.715 37.882 44.460
106 10.004 8724 0 11946.924 11190.875 11927.428 12761.460 37.187 29.750 37.243 44.455
107 10.097 8724 0 11934.074 11118.695 11919.400 12793.475 36.852 29.015 37.138 43.830
108 10.187 8724 0 11862.878 11035.325 11849.827 12729.585 36.245 28.165 36.557 43.390
109 10.279 8724 0 11783.752 10963.415 11775.528 12628.760 35.398 27.625 35.565 42.670
110 10.370 8724 0 11744.384 10915.265 11723.407 12636.435 34.674 27.255 34.653 42.155
111 10.460 8724 0 11691.487 10869.445 11673.012 12568.955 34.136 26.700 34.185 41.425
112 10.550 8724 0 11664.572 10817.040 11657.927 12532.040 33.855 25.905 34.055 41.205
113 10.641 8724 0 11626.199 10750.840 11606.073 12561.935 33.535 25.300 33.735 41.170
114 10.732 8623 0 11587.780 10701.245 11571.038 12524.540 33.317 25.240 33.678 40.310
115 10.822 8623 0 11529.668 10635.340 11512.218 12476.345 33.046 24.785 33.393 40.265
116 10.912 8623 0 11478.192 10568.705 11463.912 12430.520 32.531 24.655 33.145 38.565
117 11.003 8623 0 11422.765 10520.355 11424.447 12320.130 32.202 23.820 32.968 38.285
118 11.097 8623 0 11335.637 10465.790 11332.510 12214.865 31.596 23.125 32.327 37.875
119 11.190 8623 0 11278.386 10418.805 11261.080 12189.885 30.886 22.185 31.512 37.710
120 11.280 8623 0 11244.414 10384.770 11221.767 12172.000 30.278 21.755 30.602 37.830
121 11.370 8623 0 11151.457 10343.430 11129.332 12025.860 29.306 21.120 29.820 35.950
122 11.461 8623 0 11131.558 10310.635 11101.042 12044.030 28.898 20.400 29.630 35.200
123 11.551 8623 0 11060.288 10269.835 11018.377 11976.475 28.320 19.770 28.738 35.615
124 11.641 8623 0 11008.777 10232.830 10970.208 11900.430 27.530 19.010 27.955 34.775
125 11.731 8623 0 10951.527 10201.425 10910.167 11825.710 26.585 18.260 27.367 32.565
126 11.822 8623 0 10926.611 10174.060 10873.390 11838.825 26.216 17.780 26.710 33.170
127 11.912 8623 0 10909.178 10153.895 10871.437 11777.685 25.526 17.215 26.272 31.600
128 12.002 8623 0 10899.746 10147.330 10868.005 11747.385 25.365 17.030 25.920 32.035
129 12.092 8623 0 10853.947 10121.075 10801.028 11745.575 24.393 16.390 24.648 31.630
130 12.181 8623 0 10796.456 10093.800 10752.405 11631.265 23.596 15.665 24.225 29.640
131 12.272 8623 0 10766.485 10077.965 10719.195 11596.875 23.056 15.345 23.633 29.035
132 12.361 8623 0 10751.359 10044.615 10710.280 11581.340 22.514 14.990 22.948 28.735
133 12.451 8623 0 10739.229 10018.050 10696.028 11590.010 22.085 14.905 22.675 27.495
134 12.541 8623 0 10754.478 9993.355 10720.220 11618.375 22.346 14.750 22.758 28.705
135 12.630 8623 0 10728.287 9975.485 10698.563 11570.260 21.998 14.395 22.548 27.950
136 12.720 8623 0 10715.354 9963.575 10688.702 11547.090 21.631 14.175 22.098 27.685
137 12.809 8623 0 10698.272 9939.080 10669.933 11542.480 21.343 13.775 21.857 27.370
